ivig_1929	MH884510	68.280	599	188	2	40633	41230	21159	20562	3.83e-52	217
ivig_1929	MH884510	70.000	130	39	0	38239	38368	23450	23321	2.27e-04	59.9
ivig_1948	MG711465	93.834	18699	1100	23	16199	34870	44458	25786	0.0	28468
ivig_1948	MG711465	94.518	12332	578	28	38926	51195	18416	6121	0.0	19154
ivig_1948	MG711465	97.007	6115	182	1	51681	57795	6114	1	0.0	10200
ivig_1948	MG711465	89.705	5459	476	31	10659	16075	52432	47018	0.0	7249
ivig_1948	MG711465	91.663	4594	349	16	4549	9128	58553	53980	0.0	6517
ivig_1948	MG711465	96.811	1505	48	0	37427	38931	24291	22787	0.0	2498
ivig_1948	MG711465	95.469	1280	50	3	9212	10491	53681	52410	0.0	2041
ivig_1948	MG711465	96.007	1202	46	1	35197	36398	25541	24342	0.0	1949
ivig_1948	MG711465	91.981	1060	84	1	2507	3565	60408	59349	0.0	1526
ivig_1948	MG711465	96.190	210	8	0	1285	1494	61662	61453	2.55e-90	343
ivig_1948	MG711465	85.714	84	12	0	53343	53426	45490	45407	1.73e-16	98.7
ivig_1948	MG711465	81.250	96	18	0	53327	53422	47571	47476	7.34e-15	93.3
ivig_2157	MG711464	69.235	3296	887	59	15237	18450	9433	12683	0.0	1222
ivig_2157	MG711464	67.980	2030	564	44	12381	14356	6547	8544	1.26e-170	610
ivig_2803	CP000622	65.848	896	288	7	1428	2314	22842	21956	1.36e-53	222
ivig_2803	CP000622	74.843	159	37	3	1060	1217	23233	23077	3.89e-16	96.9
ivig_2803	CP000622	64.147	463	122	12	26138	26587	36114	35683	4.44e-09	73.4
ivig_2853	MW749008	95.259	6560	303	6	9533	16088	46001	39446	0.0	10409
ivig_2853	MW749008	94.078	3867	229	0	21081	24947	35300	31434	0.0	5942
ivig_2853	MW749008	96.036	2800	111	0	17949	20748	38142	35343	0.0	4550
ivig_2853	MW749008	96.402	2307	74	7	4658	6958	2304	1	0.0	3764
ivig_2853	MW749008	93.659	2476	147	6	6959	9429	48503	46033	0.0	3740
ivig_2853	MW749008	96.740	1227	40	0	16577	17803	39448	38222	0.0	2033
ivig_2853	MW749008	68.588	1353	385	17	27925	29257	28431	27099	1.01e-132	484
ivig_2853	MW749008	94.466	253	14	0	1	253	6218	5966	1.40e-105	394
ivig_2853	MW749008	89.474	247	25	1	2947	3193	3444	3199	5.96e-85	325
ivig_2853	MW749008	79.032	186	13	3	824	1008	5228	5068	2.90e-38	170
ivig_2853	MW749008	84.932	146	19	3	1803	1946	4706	4562	2.23e-33	154
ivig_2853	MW749008	90.741	108	10	0	2682	2789	3616	3509	2.71e-32	150
ivig_2853	MW749008	75.510	98	24	0	45820	45917	25875	25778	7.28e-08	69.8
ivig_2853	MW749008	93.182	44	3	0	3712	3755	3105	3062	8.87e-07	67.1
ivig_2876	CP063964	78.593	327	70	0	43109	43435	847	521	8.54e-70	275
ivig_3039	MW057855	85.660	1053	138	7	12482	13526	30002	31049	0.0	1199
ivig_3099	GQ478084	94.095	525	31	0	13607	14131	9908	10432	0.0	808
ivig_3099	GQ478084	80.361	443	81	1	13070	13506	9384	9826	6.03e-110	408
ivig_3099	GQ478084	94.931	217	11	0	14528	14744	11430	11646	7.35e-90	343
ivig_3099	GQ478084	85.946	185	26	0	16572	16756	13019	13203	2.11e-52	217
ivig_3099	GQ478084	75.102	245	61	0	15774	16018	12423	12667	3.34e-37	168
ivig_3099	GQ478084	84.746	59	9	0	15073	15131	11987	12045	8.41e-07	67.1
ivig_3099	GQ478084	97.297	37	1	0	14355	14391	11266	11302	1.02e-05	63.5
ivig_334	MT980839	93.527	18662	1166	21	45823	64468	1	18636	0.0	28152
ivig_334	MT980839	94.681	1504	79	1	36508	38010	28263	29766	0.0	2349
ivig_334	MT980839	92.830	1576	107	4	33210	34783	24394	25965	0.0	2321
ivig_334	MT980839	89.921	1518	141	6	42566	44075	34110	35623	0.0	2032
ivig_334	MT980839	89.662	532	50	4	35191	35718	26430	26960	0.0	699
